section,status_type,status,completion,materials,case_no,project_name,client,tracking,plan_doc,drawing,pipe_support,welding,nde,sandblast,assembly,painting,pressure_test,handover,handover_year,est_delivery,notes,contact,closed
主要工程,not_started,,,,YL2601006,斗南配氣站計量區雲嘉線汰換,南區,90工作天,,,,,,,,,,,,,,阿展,
主要工程,not_started,,,,YL2601005,中供轄區笠毅公司減壓計量站更新,南區,,,,,,,,,,,,,,,,
主要工程,completed,1/21交站,100%,V,-,富喬-計量設備更新工程,欣雲,,,1/15,1/15,1/15,1/19,-,1/20,1/20,1/20,1/22,115,,,李政雄,
主要工程,completed,1/20交站,100%,V,YL2601004,斗南交貨口-計量設備更新工程,欣雲,,,1/8,1/9,1/9,1/12,-,1/14,1/16,1/15,1/21,115,,,李政雄,
主要工程,completed,1/20交站,100%,V,YL2601004,風之谷整壓站-計量設備更新工程,欣雲,,,1/8,1/9,1/9,1/12,-,1/14,1/16,1/15,1/21,115,,,李政雄,
主要工程,completed,2/4交站,100%,V,YL2601003,新科光電減壓站改管工程,欣桃,業主供料 球閥交期1/14領回,,1/8,1/6,1/12,1/19,-,-,1/21,1/23,2/4,115,,,阿澔,
主要工程,in_progress,製作中,80%,V,YL2601002,長春人造樹脂(股)公司(二廠)新設天然氣整壓設備工程,欣彰,2/24廠驗,,,1/21,1/23,1/30,2/3,2/6,,,3/4,115,,,玉雯,
主要工程,in_progress,製作中,80%,V,YL2601001,環球水泥(股)公司阿蓮廠新設整壓計量工程,欣雄,,,1/7,1/8,1/13,1/15,1/20,1/27,,2/23,3/5,115,,,玉雯,
主要工程,not_started,,,,YL2512002,殺蛇溪工業區新設天然氣整壓計量站工程,欣屏,,,,,,,,,,,預計3月底,,,,柏如,
主要工程,in_progress,製作中,85%,V,YL2512001,台積電P2廠內表位設置工程,欣嘉,合約3/31,,12/23,12/29,12/30,1/2,1/9,1/17,,2/3,預計3月底,115,,,林鋐奕,
主要工程,not_started,,,,YL2511004,南供天一公司新設天然氣輸氣管線工程-減壓計量站部分,樂興,,,,,,,,,,,,,,,阿展,
主要工程,completed,2/17交站,100%,V,YL2511003,大林蒲交貨口球閥更換工程,南鎮,,,12/31,12/10,"12/10(研磨)
12/13(點焊)",12/16,12/19,-,-,-,2/17,115,,,李政雄,
主要工程,pending,待交站,95%,V,YL2509002,苗服轄區公用用戶整壓站汰換工作-縣運動場,公用處,,,11/19,11/28,12/3,12/8,12/9,12/13,12/20,12/30,預計3月,115,,,小蔡,
主要工程,pending,待交站,95%,V,YL2509002,苗服轄區公用用戶整壓站汰換工作-殘服中心,公用處,,,11/26,11/27,"11/27(研磨)
12/1(點焊)",12/8,12/9,12/12,12/20,12/30,預計3月,115,,,小蔡,
主要工程,pending,待交站,95%,V,YL2509002,苗服轄區公用用戶整壓站汰換工作-北苗,公用處,,,12/3,12/4,12/5,12/9,12/10,12/13,12/20,12/30,預計3月,115,,,小蔡,
